nome;telefone;email;empresa;cidade;estado;id_externo
Barbearia do João;(11) 91000-8220;lead-60@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-60
Salão da Maria;(21) 91000-8357;lead-61@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-61
Studio Corte Fix;(31) 91000-8494;lead-62@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-62
Barbearia Central;(19) 91000-8631;lead-63@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-63
Cabelo & Arte;(41) 91000-8768;lead-64@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-64
Salão Estilo;(51) 91000-8905;lead-65@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-65
Barbearia Urbana;(71) 91000-9042;lead-66@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-66
Studio Beleza Real;(81) 91000-9179;;Studio Beleza Real;Recife;PE;EXT-67
Barbearia Nobre;(85) 91000-9316;lead-68@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-68
Salão da Praça;(62) 91000-9453;lead-69@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-69
Barbearia do João;(11) 91000-9590;lead-70@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-70
Salão da Maria;(11) 91000-9590;lead-71@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-71
Studio Corte Fix;(31) 91000-9864;lead-72@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-72
Barbearia Central;(19) 91001-0001;lead-73@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-73
Cabelo & Arte;(41) 91001-0138;lead-74@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-74
Salão Estilo;(51) 91001-0275;lead-75@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-75
Barbearia Urbana;(71) 91001-0412;lead-76@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-76
Studio Beleza Real;(81) 91001-0549;lead-77@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-77
Barbearia Nobre;(85) 91001-0686;lead-78@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-78
Salão da Praça;(62) 91001-0823;lead-79@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-79
Barbearia do João;(11) 91001-0960;lead-80@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-80
Salão da Maria;(21) 91001-1097;lead-81@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-81
Studio Corte Fix;(31) 91001-1234;lead-82@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-82
Barbearia Central;(19) 91001-1371;lead-83@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-83
Cabelo & Arte;(41) 91001-1508;lead-84@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-84
Salão Estilo;(51) 91001-1645;lead-85@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-85
Barbearia Urbana;(71) 91001-1782;lead-86@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-86
Studio Beleza Real;(81) 91001-1919;lead-87@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-87
Barbearia Nobre;(85) 91001-2056;lead-88@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-88
Salão da Praça;(62) 91001-2193;lead-89@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-89
Barbearia do João;(11) 91001-2330;lead-90@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-90
Salão da Maria;(21) 91001-2467;lead-91@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-91
Studio Corte Fix;(31) 91001-2604;lead-92@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-92
Barbearia Central;(19) 91001-2741;lead-93@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-93
Cabelo & Arte;SEM_TELEFONE_VALIDO;;Cabelo & Arte;Curitiba;PR;EXT-94
Salão Estilo;(51) 91001-3015;lead-95@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-95
Barbearia Urbana;(71) 91001-3152;lead-96@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-96
Studio Beleza Real;(81) 91001-3289;lead-97@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-97
Barbearia Nobre;(85) 91001-3426;lead-98@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-98
Salão da Praça;(62) 91001-3563;lead-99@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-99
Barbearia do João;(11) 91001-3700;lead-100@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-100
Salão da Maria;(21) 91001-3837;lead-101@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-101
Studio Corte Fix;(31) 91001-3974;lead-102@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-102
Barbearia Central;(19) 91001-4111;lead-103@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-103
Cabelo & Arte;(41) 91001-4248;lead-104@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-104
Salão Estilo;(51) 91001-4385;lead-105@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-105
Barbearia Urbana;(71) 91001-4522;lead-106@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-106
Studio Beleza Real;(81) 91001-4659;lead-107@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-107
Barbearia Nobre;(85) 91001-4796;lead-108@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-108
Salão da Praça;(62) 91001-4933;lead-109@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-109
Barbearia do João;(11) 91001-5070;lead-110@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-110
Salão da Maria;(21) 91001-5207;lead-111@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-111
Studio Corte Fix;(31) 91001-5344;lead-112@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-112
Barbearia Central;(19) 91001-5481;lead-113@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-113
Cabelo & Arte;(41) 91001-5618;lead-114@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-114
Salão Estilo;(51) 91001-5755;lead-115@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-115
Barbearia Urbana;(71) 91001-5892;lead-116@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-116
Studio Beleza Real;(81) 91001-6029;lead-117@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-117
Barbearia Nobre;(85) 91001-6166;lead-118@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-118
Salão da Praça;(62) 91001-6303;lead-119@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-119
Barbearia do João;(11) 91001-6440;lead-120@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-120
Salão da Maria;(21) 91001-6577;lead-121@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-121
Studio Corte Fix;(31) 91001-6714;lead-122@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-122
Barbearia Central;(19) 91001-6851;lead-123@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-123
Cabelo & Arte;(41) 91001-6988;lead-124@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-124
Salão Estilo;(51) 91001-7125;lead-125@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-125
Barbearia Urbana;(71) 91001-7262;lead-126@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-126
Studio Beleza Real;(81) 91001-7399;lead-127@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-127
Barbearia Nobre;(85) 91001-7536;lead-128@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-128
Salão da Praça;(62) 91001-7673;lead-129@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-129
Barbearia do João;(11) 91001-7810;lead-130@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-130
Salão da Maria;(21) 91001-7947;lead-131@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-131
Studio Corte Fix;(31) 91001-8084;lead-132@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-132
Barbearia Central;(19) 91001-8221;lead-133@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-133
Cabelo & Arte;(41) 91001-8358;;Cabelo & Arte;Curitiba;PR;EXT-134
Salão Estilo;(51) 91001-8495;lead-135@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-135
Barbearia Urbana;(71) 91001-8632;lead-136@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-136
Studio Beleza Real;(81) 91001-8769;lead-137@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-137
Barbearia Nobre;(85) 91001-8906;lead-138@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-138
Salão da Praça;(62) 91001-9043;lead-139@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-139
Barbearia do João;(11) 91001-9180;lead-140@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-140
Salão da Maria;SEM_TELEFONE_VALIDO;;Salão da Maria;Rio de Janeiro;RJ;EXT-141
Studio Corte Fix;(21) 91001-9317;lead-142@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-142
Barbearia Central;(19) 91001-9591;lead-143@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-143
Cabelo & Arte;(41) 91001-9728;lead-144@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-144
Salão Estilo;(51) 91001-9865;lead-145@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-145
Barbearia Urbana;(71) 91002-0002;lead-146@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-146
Studio Beleza Real;(81) 91002-0139;lead-147@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-147
Barbearia Nobre;(85) 91002-0276;lead-148@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-148
Salão da Praça;(62) 91002-0413;lead-149@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-149
Barbearia do João;(11) 91002-0550;lead-150@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-150
Salão da Maria;(21) 91002-0687;lead-151@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-151
Studio Corte Fix;(31) 91002-0824;lead-152@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-152
Barbearia Central;(19) 91002-0961;lead-153@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-153
Cabelo & Arte;(41) 91002-1098;lead-154@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-154
Salão Estilo;(51) 91002-1235;lead-155@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-155
Barbearia Urbana;(71) 91002-1372;lead-156@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-156
Studio Beleza Real;(81) 91002-1509;lead-157@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-157
Barbearia Nobre;(85) 91002-1646;lead-158@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-158
Salão da Praça;(62) 91002-1783;lead-159@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-159
Barbearia do João;(11) 91002-1920;lead-160@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-160
Salão da Maria;(21) 91002-2057;lead-161@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-161
Studio Corte Fix;(31) 91002-2194;lead-162@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-162
Barbearia Central;(19) 91002-2331;lead-163@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-163
Cabelo & Arte;(41) 91002-2468;lead-164@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-164
Salão Estilo;(51) 91002-2605;lead-165@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-165
Barbearia Urbana;(71) 91002-2742;lead-166@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-166
Studio Beleza Real;(81) 91002-2879;lead-167@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-167
Barbearia Nobre;(85) 91002-3016;lead-168@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-168
Salão da Praça;(62) 91002-3153;lead-169@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-169
Barbearia do João;(11) 91002-3290;lead-170@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-170
Salão da Maria;(21) 91002-3427;lead-171@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-171
Studio Corte Fix;(31) 91002-3564;lead-172@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-172
Barbearia Central;(19) 91002-3701;lead-173@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-173
Cabelo & Arte;(41) 91002-3838;lead-174@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-174
Salão Estilo;(51) 91002-3975;lead-175@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-175
Barbearia Urbana;(71) 91002-4112;lead-176@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-176
Studio Beleza Real;(81) 91002-4249;lead-177@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-177
Barbearia Nobre;(85) 91002-4386;lead-178@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-178
Salão da Praça;(62) 91002-4523;lead-179@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-179
Barbearia do João;(11) 91002-4660;lead-180@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-180
Salão da Maria;(21) 91002-4797;lead-181@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-181
Studio Corte Fix;(31) 91002-4934;lead-182@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-182
Barbearia Central;(19) 91002-5071;lead-183@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-183
Cabelo & Arte;(41) 91002-5208;lead-184@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-184
Salão Estilo;(51) 91002-5345;lead-185@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-185
Barbearia Urbana;(71) 91002-5482;lead-186@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-186
Studio Beleza Real;(81) 91002-5619;lead-187@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-187
Barbearia Nobre;SEM_TELEFONE_VALIDO;;Barbearia Nobre;Fortaleza;CE;EXT-188
Salão da Praça;(62) 91002-5893;lead-189@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-189
Barbearia do João;(11) 91002-6030;lead-190@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-190
Salão da Maria;(21) 91002-6167;lead-191@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-191
Studio Corte Fix;(31) 91002-6304;lead-192@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-192
Barbearia Central;(19) 91002-6441;lead-193@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-193
Cabelo & Arte;(41) 91002-6578;lead-194@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-194
Salão Estilo;(51) 91002-6715;lead-195@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-195
Barbearia Urbana;(71) 91002-6852;lead-196@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-196
Studio Beleza Real;(81) 91002-6989;lead-197@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-197
Barbearia Nobre;(85) 91002-7126;lead-198@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-198
Salão da Praça;(62) 91002-7263;lead-199@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-199
Barbearia do João;(11) 91002-7400;lead-200@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-200
Salão da Maria;(21) 91002-7537;;Salão da Maria;Rio de Janeiro;RJ;EXT-201
Studio Corte Fix;(31) 91002-7674;lead-202@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-202
Barbearia Central;(19) 91002-7811;lead-203@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-203
Cabelo & Arte;(41) 91002-7948;lead-204@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-204
Salão Estilo;(51) 91002-8085;lead-205@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-205
Barbearia Urbana;(71) 91002-8222;lead-206@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-206
Studio Beleza Real;(81) 91002-8359;lead-207@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-207
Barbearia Nobre;(85) 91002-8496;lead-208@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-208
Salão da Praça;(62) 91002-8633;lead-209@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-209
Barbearia do João;(11) 91002-8770;lead-210@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-210
Salão da Maria;(21) 91002-8907;lead-211@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-211
Studio Corte Fix;(31) 91002-9044;lead-212@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-212
Barbearia Central;(31) 91002-9044;lead-213@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-213
Cabelo & Arte;(41) 91002-9318;lead-214@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-214
Salão Estilo;(51) 91002-9455;lead-215@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-215
Barbearia Urbana;(71) 91002-9592;lead-216@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-216
Studio Beleza Real;(81) 91002-9729;lead-217@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-217
Barbearia Nobre;(85) 91002-9866;lead-218@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-218
Salão da Praça;(62) 91003-0003;lead-219@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-219
Barbearia do João;(11) 91003-0140;lead-220@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-220
Salão da Maria;(21) 91003-0277;lead-221@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-221
Studio Corte Fix;(31) 91003-0414;lead-222@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-222
Barbearia Central;(19) 91003-0551;lead-223@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-223
Cabelo & Arte;(41) 91003-0688;lead-224@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-224
Salão Estilo;(51) 91003-0825;lead-225@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-225
Barbearia Urbana;(71) 91003-0962;lead-226@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-226
Studio Beleza Real;(81) 91003-1099;lead-227@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-227
Barbearia Nobre;(85) 91003-1236;lead-228@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-228
Salão da Praça;(62) 91003-1373;lead-229@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-229
Barbearia do João;(11) 91003-1510;lead-230@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-230
Salão da Maria;(21) 91003-1647;lead-231@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-231
Studio Corte Fix;(31) 91003-1784;lead-232@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-232
Barbearia Central;(19) 91003-1921;lead-233@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-233
Cabelo & Arte;(41) 91003-2058;lead-234@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-234
Salão Estilo;SEM_TELEFONE_VALIDO;;Salão Estilo;Porto Alegre;RS;EXT-235
Barbearia Urbana;(71) 91003-2332;lead-236@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-236
Studio Beleza Real;(81) 91003-2469;lead-237@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-237
Barbearia Nobre;(85) 91003-2606;lead-238@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-238
Salão da Praça;(62) 91003-2743;lead-239@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-239
Barbearia do João;(11) 91003-2880;lead-240@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-240
Salão da Maria;(21) 91003-3017;lead-241@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-241
Studio Corte Fix;(31) 91003-3154;lead-242@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-242
